species1,species2,divergence_time,distance,BMdiff,precdiff,parsim
Alouatta_caraya,Alouatta_guariba,4.569,932.2,388.63,57.512,0.318
Alouatta_caraya,Alouatta_palliata,3.888,3455.9,1000.03,54.883,0.226
Alouatta_caraya,Alouatta_seniculus,2.886,1908.1,821.35,9.534,0.25
Alouatta_caraya,Aotus_trivirgatus,21.321,1496.8,4664.56,27.586,0.154
Alouatta_caraya,Ateles_geoffroyi,14.76,3785.2,2005.44,54.884,0.24
Alouatta_caraya,Ateles_paniscus,14.76,1421.6,3120.29,16.694,0.214
Alouatta_caraya,Callithrix_jacchus,21.321,1739.3,5286.75,3.37,0.125
Alouatta_caraya,Cebus_apella,21.321,1054.6,2818.58,11.398,0.29
Alouatta_caraya,Cebus_capucinus,21.321,3109.3,2570.97,52.879,0.176
Alouatta_caraya,Cercocebus_galeritus,46.812,10701.8,1500.7,2.836,0.001
Alouatta_caraya,Cercopithecus_ascanius,46.812,8933.1,2036.72,0.053,0.063
Alouatta_caraya,Cercopithecus_mitis,46.812,9351.3,535.67,24.428,0.048
Alouatta_caraya,Chlorocebus_aethiops,46.812,10641,1880.97,6.938,0.038
Alouatta_caraya,Colobus_guereza,46.812,9353.8,4348.92,0.07,0.034
Alouatta_caraya,Erythrocebus_patas,46.812,7678.2,2389.34,27.058,0.038
Alouatta_caraya,Eulemur_fulvus,73.003,11429.4,3199.97,49.452,0.001
Alouatta_caraya,Gorilla_gorilla,46.812,7852.7,107012.03,7.212,0.025
Alouatta_caraya,Lophocebus_albigena,46.812,8636,1841.75,2.98,0.1
Alouatta_caraya,Macaca_fascicularis,46.812,17874.3,1007.64,60.492,0.001
Alouatta_caraya,Macaca_fuscata,46.812,15943.4,4537.8,151.928,0.001
Alouatta_caraya,Macaca_nemestrina,46.812,17764.8,2243.82,45.501,0.001
Alouatta_caraya,Macaca_sinica,46.812,15163.2,920.97,68.869,0.001
Alouatta_caraya,Mandrillus_sphinx,46.812,7596.9,11108.1,22.794,0.001
Alouatta_caraya,Pan_troglodytes,46.812,7307.5,39423.04,1.591,0.029
Alouatta_caraya,Papio_anubis,46.812,8240.8,12151.6,18.011,0.037
Alouatta_caraya,Papio_cynocephalus,46.812,9431,10245.19,14.79,0.018
Alouatta_caraya,Papio_hamadryas,46.812,11157.1,8430.12,24.514,0.029
Alouatta_caraya,Papio_ursinus,46.812,8766.4,12152.48,51.929,0.032
Alouatta_caraya,Piliocolobus_badius,46.812,5688.8,2853.44,17.718,0.056
Alouatta_caraya,Pongo_pygmaeus,46.812,18319.9,47831.33,3.195,0.001
Alouatta_caraya,Saguinus_midas,21.321,1378.5,5036.4,14.758,0.214
Alouatta_caraya,Saimiri_oerstedii,21.321,3302.3,4862.78,63.009,0.208
Alouatta_caraya,Saimiri_sciureus,21.321,1203.6,4827.49,14.832,0.174
Alouatta_caraya,Trachypithecus_cristatus,46.812,17805.5,1599.85,46.573,0.001
Alouatta_guariba,Alouatta_palliata,4.569,4382.4,1388.66,2.629,0.32
Alouatta_guariba,Alouatta_seniculus,4.569,2823,1209.98,67.046,0.448
Alouatta_guariba,Aotus_trivirgatus,21.321,2290.9,4275.93,85.098,0.261
Alouatta_guariba,Ateles_geoffroyi,14.76,4706.5,2394.07,2.627,0.238
Alouatta_guariba,Ateles_paniscus,14.76,2021.9,3508.92,74.206,0.24
Alouatta_guariba,Callithrix_jacchus,21.321,1284.4,4898.12,54.142,0.069
Alouatta_guariba,Cebus_apella,21.321,1746.8,2429.95,68.91,0.269
Alouatta_guariba,Cebus_capucinus,21.321,4040.6,2182.34,4.633,0.167
Alouatta_guariba,Cercocebus_galeritus,46.812,9855.9,1889.33,54.676,0.036
Alouatta_guariba,Cercopithecus_ascanius,46.812,8115.8,1648.09,57.565,0.069
Alouatta_guariba,Cercopithecus_mitis,46.812,8471.1,147.04,33.084,0.051
Alouatta_guariba,Chlorocebus_aethiops,46.812,9886.8,1492.34,64.45,0.042
Alouatta_guariba,Colobus_guereza,46.812,8582.8,4737.55,57.442,0.08
Alouatta_guariba,Erythrocebus_patas,46.812,6982.4,2777.97,84.57,0.048
Alouatta_guariba,Eulemur_fulvus,73.003,10522.1,2811.34,8.06,0.001
Alouatta_guariba,Gorilla_gorilla,46.812,7070.9,107400.66,50.3,0.013
Alouatta_guariba,Lophocebus_albigena,46.812,7835.8,2230.38,54.532,0.071
Alouatta_guariba,Macaca_fascicularis,46.812,16962.8,619.01,2.98,0.001
Alouatta_guariba,Macaca_fuscata,46.812,15574.7,4926.43,94.417,0.001
Alouatta_guariba,Macaca_nemestrina,46.812,16838.8,2632.45,12.011,0.001
Alouatta_guariba,Macaca_sinica,46.812,14268.3,532.34,11.357,0.037
Alouatta_guariba,Mandrillus_sphinx,46.812,6816.2,11496.73,34.718,0.037
Alouatta_guariba,Pan_troglodytes,46.812,6561,39811.67,59.103,0.03
Alouatta_guariba,Papio_anubis,46.812,7526,12540.23,75.523,0.039
Alouatta_guariba,Papio_cynocephalus,46.812,8575.1,10633.82,42.722,0.038
Alouatta_guariba,Papio_hamadryas,46.812,10383.3,8818.75,32.998,0.001
Alouatta_guariba,Papio_ursinus,46.812,7841.8,12541.11,5.583,0.034
Alouatta_guariba,Piliocolobus_badius,46.812,5111.2,3242.07,39.794,0.031
Alouatta_guariba,Pongo_pygmaeus,46.812,17436.2,48219.96,54.317,0.001
Alouatta_guariba,Saguinus_midas,21.321,1958,4647.77,72.27,0.24
Alouatta_guariba,Saimiri_oerstedii,21.321,4231.8,4474.15,5.498,0.2
Alouatta_guariba,Saimiri_sciureus,21.321,2036.1,4438.86,72.344,0.159
Alouatta_guariba,Trachypithecus_cristatus,46.812,16877.5,1988.48,10.939,0.001
Alouatta_palliata,Alouatta_seniculus,3.888,1783.7,178.68,64.418,0.439
Alouatta_palliata,Aotus_trivirgatus,21.321,2642.9,5664.59,82.469,0.241
Alouatta_palliata,Ateles_geoffroyi,14.76,364.2,1005.41,0.001,0.693
Alouatta_palliata,Ateles_paniscus,14.76,3226.4,2120.26,71.577,0.35
Alouatta_palliata,Callithrix_jacchus,21.321,4911.9,6286.78,51.513,0.111
Alouatta_palliata,Cebus_apella,21.321,3123.6,3818.61,66.282,0.404
Alouatta_palliata,Cebus_capucinus,21.321,417.1,3571,2.004,0.634
Alouatta_palliata,Cercocebus_galeritus,46.812,13960.9,500.67,52.047,0.001
Alouatta_palliata,Cercopithecus_ascanius,46.812,12153.5,3036.75,54.936,0.128
Alouatta_palliata,Cercopithecus_mitis,46.812,12728.9,1535.7,30.456,0.102
Alouatta_palliata,Chlorocebus_aethiops,46.812,13595.3,2881,61.821,0.018
Alouatta_palliata,Colobus_guereza,46.812,12426.2,3348.89,54.813,0.118
Alouatta_palliata,Erythrocebus_patas,46.812,10619.2,1389.31,81.941,0.156
Alouatta_palliata,Eulemur_fulvus,73.003,14857.6,4200,5.431,0.001
Alouatta_palliata,Gorilla_gorilla,46.812,11011.8,106012,47.671,0.012
Alouatta_palliata,Lophocebus_albigena,46.812,11818.2,841.72,51.903,0.132
Alouatta_palliata,Macaca_fascicularis,46.812,18374.7,2007.67,5.609,0.042
Alouatta_palliata,Macaca_fuscata,46.812,15385.2,3537.77,97.045,0.029
Alouatta_palliata,Macaca_nemestrina,46.812,18622.8,1243.79,9.382,0.065
Alouatta_palliata,Macaca_sinica,46.812,18458.4,1921,13.986,0.001
Alouatta_palliata,Mandrillus_sphinx,46.812,10762.2,10108.07,32.09,0.029
Alouatta_palliata,Pan_troglodytes,46.812,10398.4,38423.01,56.475,0.08
Alouatta_palliata,Papio_anubis,46.812,11202.9,11151.57,72.894,0.097
Alouatta_palliata,Papio_cynocephalus,46.812,12745.4,9245.16,40.093,0.066
Alouatta_palliata,Papio_hamadryas,46.812,14150.9,7430.09,30.37,0.001
Alouatta_palliata,Papio_ursinus,46.812,12222.3,11152.45,2.955,0.059
Alouatta_palliata,Piliocolobus_badius,46.812,8478.9,1853.41,37.165,0.05
Alouatta_palliata,Pongo_pygmaeus,46.812,17871.4,46831.3,51.688,0.001
Alouatta_palliata,Saguinus_midas,21.321,3282.7,6036.43,69.641,0.351
Alouatta_palliata,Saimiri_oerstedii,21.321,195.6,5862.81,8.126,0.138
Alouatta_palliata,Saimiri_sciureus,21.321,2679,5827.52,69.715,0.344
Alouatta_palliata,Trachypithecus_cristatus,46.812,18620.3,599.82,8.31,0.054
Alouatta_seniculus,Aotus_trivirgatus,21.321,866.6,5485.91,18.052,0.162
Alouatta_seniculus,Ateles_geoffroyi,14.76,2146.9,1184.09,64.419,0.282
Alouatta_seniculus,Ateles_paniscus,14.76,1449.8,2298.94,7.16,0.184
Alouatta_seniculus,Callithrix_jacchus,21.321,3151.3,6108.1,12.905,0.093
Alouatta_seniculus,Cebus_apella,21.321,1347.6,3639.93,1.864,0.396
Alouatta_seniculus,Cebus_capucinus,21.321,1375,3392.32,62.414,0.229
Alouatta_seniculus,Cercocebus_galeritus,46.812,12177.3,679.35,12.37,0.001
Alouatta_seniculus,Cercopithecus_ascanius,46.812,10369.9,2858.07,9.482,0.047
Alouatta_seniculus,Cercopithecus_mitis,46.812,10964.2,1357.02,33.962,0.038
Alouatta_seniculus,Chlorocebus_aethiops,46.812,11851.7,2702.32,2.597,0.032
Alouatta_seniculus,Colobus_guereza,46.812,10654.9,3527.57,9.605,0.079
Alouatta_seniculus,Erythrocebus_patas,46.812,8859,1567.99,17.524,0.056
Alouatta_seniculus,Eulemur_fulvus,73.003,13112.2,4021.32,58.986,0.001
Alouatta_seniculus,Gorilla_gorilla,46.812,9229.2,106190.68,16.747,0.034
Alouatta_seniculus,Lophocebus_albigena,46.812,10035.4,1020.4,12.514,0.048
Alouatta_seniculus,Macaca_fascicularis,46.812,19780,1828.99,70.026,0.001
Alouatta_seniculus,Macaca_fuscata,46.812,16593.7,3716.45,161.463,0.001
Alouatta_seniculus,Macaca_nemestrina,46.812,19619.1,1422.47,55.035,0.001
Alouatta_seniculus,Macaca_sinica,46.812,16685.1,1742.32,78.404,0.026
Alouatta_seniculus,Mandrillus_sphinx,46.812,8979.1,10286.75,32.328,0.024
Alouatta_seniculus,Pan_troglodytes,46.812,8619.1,38601.69,7.943,0.067
Alouatta_seniculus,Papio_anubis,46.812,9442.6,11330.25,8.476,0.031
Alouatta_seniculus,Papio_cynocephalus,46.812,10966.1,9423.84,24.324,0.015
Alouatta_seniculus,Papio_hamadryas,46.812,12402.9,7608.77,34.048,0.001
Alouatta_seniculus,Papio_ursinus,46.812,10556.6,11331.13,61.463,0.028
Alouatta_seniculus,Piliocolobus_badius,46.812,6728.1,2032.09,27.252,0.022
Alouatta_seniculus,Pongo_pygmaeus,46.812,19651.3,47009.98,12.729,0.001
Alouatta_seniculus,Saguinus_midas,21.321,1503,5857.75,5.224,0.27
Alouatta_seniculus,Saimiri_oerstedii,21.321,1596,5684.13,72.544,0.118
Alouatta_seniculus,Saimiri_sciureus,21.321,906.7,5648.84,5.298,0.357
Alouatta_seniculus,Trachypithecus_cristatus,46.812,19625.9,778.5,56.107,0.001
Aotus_trivirgatus,Ateles_geoffroyi,21.321,3007,6670,82.471,0.318
Aotus_trivirgatus,Ateles_paniscus,21.321,583.9,7784.85,10.892,0.31
Aotus_trivirgatus,Callithrix_jacchus,19.488,2356.2,622.19,30.957,0.067
Aotus_trivirgatus,Cebus_apella,20.093,577,1845.98,16.188,0.31
Aotus_trivirgatus,Cebus_capucinus,20.093,2229.6,2093.59,80.465,0.286
Aotus_trivirgatus,Cercocebus_galeritus,46.812,11320.6,6165.26,30.422,0.001
Aotus_trivirgatus,Cercopithecus_ascanius,46.812,9513.2,2627.84,27.533,0.034
Aotus_trivirgatus,Cercopithecus_mitis,46.812,10135.4,4128.89,52.014,0.001
Aotus_trivirgatus,Chlorocebus_aethiops,46.812,10985.8,2783.59,20.649,0.063
Aotus_trivirgatus,Colobus_guereza,46.812,9789.1,9013.48,27.657,0.001
Aotus_trivirgatus,Erythrocebus_patas,46.812,7992.4,7053.9,0.528,0.095
Aotus_trivirgatus,Eulemur_fulvus,73.003,12293.9,1464.59,77.038,0.001
Aotus_trivirgatus,Gorilla_gorilla,46.812,8369.3,111676.59,34.798,0.001
Aotus_trivirgatus,Lophocebus_albigena,46.812,9175.8,6506.31,30.566,0.001
Aotus_trivirgatus,Macaca_fascicularis,46.812,19005.7,3656.92,88.078,0.026
Aotus_trivirgatus,Macaca_fuscata,46.812,17117.9,9202.36,179.515,0.001
Aotus_trivirgatus,Macaca_nemestrina,46.812,18764.1,6908.38,73.087,0.001
Aotus_trivirgatus,Macaca_sinica,46.812,15820.9,3743.59,96.455,0.001
Aotus_trivirgatus,Mandrillus_sphinx,46.812,8120.2,15772.66,50.38,0.001
Aotus_trivirgatus,Pan_troglodytes,46.812,7755.8,44087.6,25.995,0.001
Aotus_trivirgatus,Papio_anubis,46.812,8575.9,16816.16,9.576,0.02
Aotus_trivirgatus,Papio_cynocephalus,46.812,10121.1,14909.75,42.376,0.019
Aotus_trivirgatus,Papio_hamadryas,46.812,11536.7,13094.68,52.1,0.001
Aotus_trivirgatus,Papio_ursinus,46.812,9801.6,16817.04,79.515,0.018
Aotus_trivirgatus,Piliocolobus_badius,46.812,5862.5,7518,45.304,0.03
Aotus_trivirgatus,Pongo_pygmaeus,46.812,19512.3,52495.89,30.781,0.001
Aotus_trivirgatus,Saguinus_midas,19.488,640,371.84,12.828,0.259
Aotus_trivirgatus,Saimiri_oerstedii,20.093,2452.2,198.22,90.596,0.19
Aotus_trivirgatus,Saimiri_sciureus,20.093,311.2,162.93,12.754,0.217
Aotus_trivirgatus,Trachypithecus_cristatus,46.812,18761.3,6264.41,74.159,0.001
Ateles_geoffroyi,Ateles_paniscus,2.68,3590.6,1114.85,71.579,0.433
Ateles_geoffroyi,Callithrix_jacchus,21.321,5268.3,7292.19,51.514,0.179
Ateles_geoffroyi,Cebus_apella,21.321,3484.5,4824.02,66.283,0.528
Ateles_geoffroyi,Cebus_capucinus,21.321,780.3,4576.41,2.005,0.754
Ateles_geoffroyi,Cercocebus_galeritus,46.812,14324,504.74,52.049,0.074
Ateles_geoffroyi,Cercopithecus_ascanius,46.812,12516.8,4042.16,54.937,0.194
Ateles_geoffroyi,Cercopithecus_mitis,46.812,13083,2541.11,30.457,0.146
Ateles_geoffroyi,Chlorocebus_aethiops,46.812,13955.4,3886.41,61.822,0.083
Ateles_geoffroyi,Colobus_guereza,46.812,12790.1,2343.48,54.814,0.192
Ateles_geoffroyi,Erythrocebus_patas,46.812,10982.1,383.9,81.943,0.231
Ateles_geoffroyi,Eulemur_fulvus,73.003,15203.4,5205.41,5.432,0.001
Ateles_geoffroyi,Gorilla_gorilla,46.812,11375.6,105006.59,47.672,0.038
Ateles_geoffroyi,Lophocebus_albigena,46.812,12182,163.69,51.904,0.188
Ateles_geoffroyi,Macaca_fascicularis,46.812,18010.6,3013.08,5.607,0.075
Ateles_geoffroyi,Macaca_fuscata,46.812,15084.3,2532.36,97.044,0.074
Ateles_geoffroyi,Macaca_nemestrina,46.812,18258.8,238.38,9.384,0.12
Ateles_geoffroyi,Macaca_sinica,46.812,18821.2,2926.41,13.985,0.037
Ateles_geoffroyi,Mandrillus_sphinx,46.812,11125.8,9102.66,32.091,0.071
Ateles_geoffroyi,Pan_troglodytes,46.812,10762.6,37417.6,56.476,0.101
Ateles_geoffroyi,Papio_anubis,46.812,11565.8,10146.16,72.895,0.13
Ateles_geoffroyi,Papio_cynocephalus,46.812,13105.2,8239.75,40.095,0.091
Ateles_geoffroyi,Papio_hamadryas,46.812,14511.4,6424.68,30.371,0.067
Ateles_geoffroyi,Papio_ursinus,46.812,12548,10147.04,2.956,0.083
Ateles_geoffroyi,Piliocolobus_badius,46.812,8841.2,848,37.167,0.094
Ateles_geoffroyi,Pongo_pygmaeus,46.812,17507.6,45825.89,51.689,0.001
Ateles_geoffroyi,Saguinus_midas,21.321,3646.7,7041.84,69.643,0.444
Ateles_geoffroyi,Saimiri_oerstedii,21.321,557.5,6868.22,8.125,0.3
Ateles_geoffroyi,Saimiri_sciureus,21.321,3039.8,6832.93,69.717,0.392
Ateles_geoffroyi,Trachypithecus_cristatus,46.812,18257.3,405.59,8.311,0.103
Ateles_paniscus,Callithrix_jacchus,21.321,1834.3,8407.04,20.065,0.125
Ateles_paniscus,Cebus_apella,21.321,388.6,5938.87,5.296,0.615
Ateles_paniscus,Cebus_capucinus,21.321,2812.5,5691.26,69.573,0.333
Ateles_paniscus,Cercocebus_galeritus,46.812,10738.7,1619.59,19.53,0.034
Ateles_paniscus,Cercopithecus_ascanius,46.812,8931.5,5157.01,16.641,0.032
Ateles_paniscus,Cercopithecus_mitis,46.812,9566.9,3655.96,41.122,0.05
Ateles_paniscus,Chlorocebus_aethiops,46.812,10405.1,5001.26,9.757,0.039
Ateles_paniscus,Colobus_guereza,46.812,9205.2,1228.63,16.764,0.037
Ateles_paniscus,Erythrocebus_patas,46.812,7410,730.95,10.364,0.042
Ateles_paniscus,Eulemur_fulvus,73.003,11729.2,6320.26,66.146,0.034
Ateles_paniscus,Gorilla_gorilla,46.812,7786.5,103891.74,23.906,0.013
Ateles_paniscus,Lophocebus_albigena,46.812,8593.1,1278.54,19.674,0.033
Ateles_paniscus,Macaca_fascicularis,46.812,18425.2,4127.93,77.186,0.001
Ateles_paniscus,Macaca_fuscata,46.812,17340.2,1417.51,168.623,0.032
Ateles_paniscus,Macaca_nemestrina,46.812,18180.3,876.47,62.195,0.001
Ateles_paniscus,Macaca_sinica,46.812,15236.9,4041.26,85.563,0.036
Ateles_paniscus,Mandrillus_sphinx,46.812,7537.8,7987.81,39.488,0.036
Ateles_paniscus,Pan_troglodytes,46.812,7172.1,36302.75,15.103,0.03
Ateles_paniscus,Papio_anubis,46.812,7993.4,9031.31,1.316,0.038
Ateles_paniscus,Papio_cynocephalus,46.812,9544.5,7124.9,31.484,0.038
Ateles_paniscus,Papio_hamadryas,46.812,10955.1,5309.83,41.208,0.031
Ateles_paniscus,Papio_ursinus,46.812,9275.6,9032.19,68.623,0.049
Ateles_paniscus,Piliocolobus_badius,46.812,5282.7,266.85,34.412,0.059
Ateles_paniscus,Pongo_pygmaeus,46.812,18928.9,44711.04,19.889,0.028
Ateles_paniscus,Saguinus_midas,21.321,72.6,8156.69,1.936,0.574
Ateles_paniscus,Saimiri_oerstedii,21.321,3035.3,7983.07,79.704,0.174
Ateles_paniscus,Saimiri_sciureus,21.321,656.4,7947.78,1.862,0.471
Ateles_paniscus,Trachypithecus_cristatus,46.812,18177.5,1520.44,63.267,0.001
Callithrix_jacchus,Cebus_apella,20.093,1807.4,2468.17,14.769,0.152
Callithrix_jacchus,Cebus_capucinus,20.093,4516.2,2715.78,49.509,0.143
Callithrix_jacchus,Cercocebus_galeritus,46.812,9083.1,6787.45,0.535,0.001
Callithrix_jacchus,Cercopithecus_ascanius,46.812,7286.9,3250.03,3.423,0.029
Callithrix_jacchus,Cercopithecus_mitis,46.812,7817.8,4751.08,21.057,0.001
Callithrix_jacchus,Chlorocebus_aethiops,46.812,8929.8,3405.78,10.308,0.018
Callithrix_jacchus,Colobus_guereza,46.812,7658.9,9635.67,3.3,0.001
Callithrix_jacchus,Erythrocebus_patas,46.812,5949.6,7676.09,30.429,0.036
Callithrix_jacchus,Eulemur_fulvus,73.003,9960.9,2086.78,46.082,0.001
Callithrix_jacchus,Gorilla_gorilla,46.812,6175.2,112298.78,3.842,0.012
Callithrix_jacchus,Lophocebus_albigena,46.812,6971.7,7128.5,0.39,0.001
Callithrix_jacchus,Macaca_fascicularis,46.812,16676.2,4279.11,57.121,0.001
Callithrix_jacchus,Macaca_fuscata,46.812,16467.3,9824.55,148.558,0.001
Callithrix_jacchus,Macaca_nemestrina,46.812,16468.5,7530.57,42.13,0.001
Callithrix_jacchus,Macaca_sinica,46.812,13599.2,4365.78,65.499,0.001
Callithrix_jacchus,Mandrillus_sphinx,46.812,5920.2,16394.85,19.423,0.001
Callithrix_jacchus,Pan_troglodytes,46.812,5605.1,44709.79,4.962,0.014
Callithrix_jacchus,Papio_anubis,46.812,6517.7,17438.35,21.381,0.018
Callithrix_jacchus,Papio_cynocephalus,46.812,7841.1,15531.94,11.419,0.035
Callithrix_jacchus,Papio_hamadryas,46.812,9456.4,13716.87,21.143,0.001
Callithrix_jacchus,Papio_ursinus,46.812,7447.4,17439.23,48.558,0.016
Callithrix_jacchus,Piliocolobus_badius,46.812,3951.6,8140.19,14.347,0.053
Callithrix_jacchus,Pongo_pygmaeus,46.812,17202.3,53118.08,0.175,0.001
Callithrix_jacchus,Saguinus_midas,15.712,1763.2,250.35,18.128,0.143
Callithrix_jacchus,Saimiri_oerstedii,20.093,4732.5,423.97,59.639,0.107
Callithrix_jacchus,Saimiri_sciureus,20.093,2244.6,459.26,18.203,0.244
Callithrix_jacchus,Trachypithecus_cristatus,46.812,16484,6886.6,43.203,0.001
Cebus_apella,Cebus_capucinus,6.449,2720,247.61,64.277,0.476
Cebus_apella,Cercocebus_galeritus,46.812,10842.6,4319.28,14.234,0.032
Cebus_apella,Cercopithecus_ascanius,46.812,9036.7,781.86,11.345,0.167
Cebus_apella,Cercopithecus_mitis,46.812,9616.6,2282.91,35.826,0.149
Cebus_apella,Chlorocebus_aethiops,46.812,10577.8,937.61,4.461,0.039
Cebus_apella,Colobus_guereza,46.812,9350.2,7167.5,11.469,0.226
Cebus_apella,Erythrocebus_patas,46.812,7576.5,5207.92,15.66,0.148
Cebus_apella,Eulemur_fulvus,73.003,11766,381.39,60.85,0.001
Cebus_apella,Gorilla_gorilla,46.812,7902.8,109830.61,18.61,0.024
Cebus_apella,Lophocebus_albigena,46.812,8707.5,4660.33,14.378,0.194
Cebus_apella,Macaca_fascicularis,46.812,18483.5,1810.94,71.89,0.023
Cebus_apella,Macaca_fuscata,46.812,16952.2,7356.38,163.327,0.032
Cebus_apella,Macaca_nemestrina,46.812,18271.6,5062.4,56.899,0.038
Cebus_apella,Macaca_sinica,46.812,15360.5,1897.61,80.267,0.033
Cebus_apella,Mandrillus_sphinx,46.812,7650.9,13926.68,34.192,0.065
Cebus_apella,Pan_troglodytes,46.812,7303.1,42241.62,9.807,0.095
Cebus_apella,Papio_anubis,46.812,8157.7,14970.18,6.612,0.119
Cebus_apella,Papio_cynocephalus,46.812,9621.9,13063.77,26.188,0.054
Cebus_apella,Papio_hamadryas,46.812,11121.8,11248.7,35.912,0.001
Cebus_apella,Papio_ursinus,46.812,9240.6,14971.06,63.327,0.063
Cebus_apella,Piliocolobus_badius,46.812,5471.2,5672.02,29.116,0.081
Cebus_apella,Pongo_pygmaeus,46.812,19009.7,50649.91,14.593,0.001
Cebus_apella,Saguinus_midas,20.093,368.7,2217.82,3.36,0.625
Cebus_apella,Saimiri_oerstedii,18.57,2939.3,2044.2,74.408,0.208
Cebus_apella,Saimiri_sciureus,18.57,444.8,2008.91,3.434,0.714
Cebus_apella,Trachypithecus_cristatus,46.812,18282.9,4418.43,57.971,0.031
Cebus_capucinus,Cercocebus_galeritus,46.812,13549.8,4071.67,50.043,0.001
Cebus_capucinus,Cercopithecus_ascanius,46.812,11742.4,534.25,52.932,0.122
Cebus_capucinus,Cercopithecus_mitis,46.812,12333.7,2035.3,28.452,0.102
Cebus_capucinus,Chlorocebus_aethiops,46.812,13178.8,690,59.817,0.035
Cebus_capucinus,Colobus_guereza,46.812,12009.8,6919.89,52.809,0.118
Cebus_capucinus,Erythrocebus_patas,46.812,10202.1,4960.31,79.937,0.147
Cebus_capucinus,Eulemur_fulvus,73.003,14472.8,629,3.427,0.001
Cebus_capucinus,Gorilla_gorilla,46.812,10598.9,109583,45.667,0.012
Cebus_capucinus,Lophocebus_albigena,46.812,11405.4,4412.72,49.899,0.132
Cebus_capucinus,Macaca_fascicularis,46.812,18790.5,1563.33,7.613,0.042
Cebus_capucinus,Macaca_fuscata,46.812,15743.4,7108.77,99.049,0.029
Cebus_capucinus,Macaca_nemestrina,46.812,19034.2,4814.79,7.378,0.065
Cebus_capucinus,Macaca_sinica,46.812,18041.4,1650,15.99,0.001
Cebus_capucinus,Mandrillus_sphinx,46.812,10349.8,13679.07,30.086,0.029
Cebus_capucinus,Pan_troglodytes,46.812,9983.7,41994.01,54.471,0.078
Cebus_capucinus,Papio_anubis,46.812,10785.9,14722.57,70.89,0.1
Cebus_capucinus,Papio_cynocephalus,46.812,12341,12816.16,38.089,0.063
Cebus_capucinus,Papio_hamadryas,46.812,13734.2,11001.09,28.366,0.001
Cebus_capucinus,Papio_ursinus,46.812,11866.7,14723.45,0.95,0.059
Cebus_capucinus,Piliocolobus_badius,46.812,8061.8,5424.41,35.161,0.024
Cebus_capucinus,Pongo_pygmaeus,46.812,18282.8,50402.3,49.684,0.001
Cebus_capucinus,Saguinus_midas,20.093,2869.6,2465.43,67.637,0.419
Cebus_capucinus,Saimiri_oerstedii,18.57,223,2291.81,10.13,0.375
Cebus_capucinus,Saimiri_sciureus,18.57,2276.4,2256.52,67.711,0.357
Cebus_capucinus,Trachypithecus_cristatus,46.812,19027.1,4170.82,6.306,0.054
Cercocebus_galeritus,Cercopithecus_ascanius,14.875,1807.5,3537.42,2.889,0.231
Cercocebus_galeritus,Cercopithecus_mitis,14.875,1502.8,2036.37,21.592,0.313
